model,threshold,round_type,round_index,codec_mode,cuda_layers,cpu_fallback_layers,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,final_payload_bytes,compact_intermediate_d2h_mb,full_residual_d2h_avoided_mb,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_kernel_ms,cuda_state_commit_ms,model_total_ms,cpu_baseline_model_total_ms,speedup_vs_cpu_wrapper,speedup_vs_v0_raw,compression_ratio,ratio_delta,codec_failure_reason,state_committed,accepted_compact,classification
resnet18,262144,round0,0,raw_v0,8,93,41287680,41287680,100.000000,41287680,39.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.648689,114.680041,329.042290,2.869220,1.000000,1.055580,-0.725432,,1,0,stop_ratio_failed
resnet18,262144,hot,1,raw_v0,8,93,41287680,41287680,100.000000,41416338,39.375000,0.000000,0.000000,0.000000,0.000000,2.062208,0.569697,136.521029,437.600031,3.205367,1.000000,1.052191,-0.724241,,1,0,stop_ratio_failed
resnet18,262144,hot,2,raw_v0,8,93,41287680,41287680,100.000000,41416585,39.375000,0.000000,0.000000,0.000000,0.000000,2.068512,0.573613,127.446384,421.243116,3.305257,1.000000,1.052078,-0.723159,,1,0,stop_ratio_failed
resnet18,262144,round0,0,cpu_codec_full_residual_probe,8,93,41287680,41287680,100.000000,38212708,39.375000,0.000000,1194.644971,0.000000,1194.644971,0.000000,2.430256,1298.686450,329.042290,0.253365,0.088305,1.138165,-0.703951,,1,0,diagnostic_only
resnet18,262144,hot,1,cpu_codec_full_residual_probe,8,93,41287680,41287680,100.000000,38349037,39.375000,0.000000,1203.070357,0.000000,1203.070357,2.097152,1.357935,1344.631917,437.600031,0.325442,0.101530,1.134004,-0.702799,,1,0,diagnostic_only
resnet18,262144,hot,2,cpu_codec_full_residual_probe,8,93,41287680,41287680,100.000000,38348468,39.375000,0.000000,1182.107238,0.000000,1182.107238,2.097216,1.314741,1317.490160,421.243116,0.319732,0.096734,1.133897,-0.701629,,1,0,diagnostic_only
resnet18,262144,round0,0,hybrid_compact_v1a,8,93,41287680,10321920,25.000000,12674508,9.843750,29.531250,2612.410063,18.876000,2593.534063,0.000000,2.125235,2680.382472,329.042290,0.122759,0.042785,3.249709,-0.154715,,1,1,stop_ratio_failed
resnet18,262144,hot,1,hybrid_compact_v1a,8,93,41287680,10321920,25.000000,12752489,9.843750,29.531250,2584.519076,17.615921,2566.903155,2.096032,1.137584,2682.459419,437.600031,0.163134,0.050894,3.229568,-0.153592,,1,1,stop_ratio_failed
resnet18,262144,hot,2,hybrid_compact_v1a,8,93,41287680,10321920,25.000000,12786512,9.843750,29.531250,2621.989485,17.055658,2604.933827,2.092960,1.111205,2717.752953,421.243116,0.154997,0.046894,3.220652,-0.152526,,1,1,stop_ratio_failed
resnet18,524288,round0,0,raw_v0,7,94,40108032,40108032,100.000000,40108032,38.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.592563,108.309117,329.042290,3.037993,1.000000,1.077602,-0.719704,,1,0,stop_ratio_failed
resnet18,524288,hot,1,raw_v0,7,94,40108032,40108032,100.000000,40232988,38.250000,0.000000,0.000000,0.000000,0.000000,1.999872,0.514635,143.376011,437.600031,3.052115,1.000000,1.074156,-0.718484,,1,0,stop_ratio_failed
resnet18,524288,hot,2,raw_v0,7,94,40108032,40108032,100.000000,40233226,38.250000,0.000000,0.000000,0.000000,0.000000,2.001856,0.494034,134.080920,421.243116,3.141708,1.000000,1.073966,-0.717399,,1,0,stop_ratio_failed
resnet18,524288,round0,0,cpu_codec_full_residual_probe,7,94,40108032,40108032,100.000000,37120819,38.250000,0.000000,1151.336968,0.000000,1151.336968,0.000000,2.154393,1268.247953,329.042290,0.259446,0.085401,1.161158,-0.697970,,1,0,diagnostic_only
resnet18,524288,hot,1,cpu_codec_full_residual_probe,7,94,40108032,40108032,100.000000,37253389,38.250000,0.000000,1135.673035,0.000000,1135.673035,2.026560,1.086785,1280.264956,437.600031,0.341804,0.111989,1.156930,-0.696791,,1,0,diagnostic_only
resnet18,524288,hot,2,cpu_codec_full_residual_probe,7,94,40108032,40108032,100.000000,37252682,38.250000,0.000000,1137.013539,0.000000,1137.013539,2.019296,1.144328,1276.173495,421.243116,0.330083,0.105065,1.156738,-0.695619,,1,0,diagnostic_only
resnet18,524288,round0,0,hybrid_compact_v1a,7,94,40108032,10027008,25.000000,12301762,9.562500,28.687500,2558.138675,17.086741,2541.051934,0.000000,1.805965,2634.434170,329.042290,0.124901,0.041113,3.263733,-0.151067,,1,1,stop_ratio_failed
resnet18,524288,hot,1,hybrid_compact_v1a,7,94,40108032,10027008,25.000000,12380568,9.562500,28.687500,2442.988471,16.893015,2426.095456,2.028416,1.033033,2546.603682,437.600031,0.171837,0.056301,3.243138,-0.150036,,1,1,stop_ratio_failed
resnet18,524288,hot,2,hybrid_compact_v1a,7,94,40108032,10027008,25.000000,12409835,9.562500,28.687500,2519.523884,17.995548,2501.528336,2.027520,1.083963,2619.579289,421.243116,0.160806,0.051184,3.234609,-0.148853,,1,1,stop_ratio_failed
resnet18,1048576,round0,0,raw_v0,4,97,33030144,33030144,100.000000,33030144,31.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.388634,163.978217,329.042290,2.006622,1.000000,1.233502,-0.679153,,1,0,stop_ratio_failed
resnet18,1048576,hot,1,raw_v0,4,97,33030144,33030144,100.000000,33133125,31.500000,0.000000,0.000000,0.000000,0.000000,1.627136,0.295092,188.686613,437.600031,2.319190,1.000000,1.228973,-0.677910,,1,0,stop_ratio_failed
resnet18,1048576,hot,2,raw_v0,4,97,33030144,33030144,100.000000,33133245,31.500000,0.000000,0.000000,0.000000,0.000000,1.624064,0.291524,196.427250,421.243116,2.144525,1.000000,1.228711,-0.676680,,1,0,stop_ratio_failed
resnet18,1048576,round0,0,cpu_codec_full_residual_probe,4,97,33030144,33030144,100.000000,30570093,31.500000,0.000000,979.609371,0.000000,979.609371,0.000000,1.375508,1129.241467,329.042290,0.291383,0.145211,1.323263,-0.655805,,1,0,diagnostic_only
resnet18,1048576,hot,1,cpu_codec_full_residual_probe,4,97,33030144,33030144,100.000000,30679424,31.500000,0.000000,974.210549,0.000000,974.210549,1.640480,0.712241,1160.164322,437.600031,0.377188,0.162638,1.317807,-0.654628,,1,0,diagnostic_only
resnet18,1048576,hot,2,cpu_codec_full_residual_probe,4,97,33030144,33030144,100.000000,30678680,31.500000,0.000000,956.163851,0.000000,956.163851,1.641504,0.682828,1137.418776,421.243116,0.370350,0.172696,1.317539,-0.653306,,1,0,diagnostic_only
resnet18,1048576,round0,0,hybrid_compact_v1a,4,97,33030144,8257536,25.000000,10113297,7.875000,23.625000,2087.030967,12.197478,2074.833489,0.000000,1.182472,2205.533840,329.042290,0.149189,0.074349,3.351084,-0.128346,,1,1,stop_ratio_failed
resnet18,1048576,hot,1,hybrid_compact_v1a,4,97,33030144,8257536,25.000000,10164203,7.875000,23.625000,2060.449628,14.052566,2046.397062,1.645600,0.626161,2210.888725,437.600031,0.197929,0.085344,3.330734,-0.127079,,1,1,stop_ratio_failed
resnet18,1048576,hot,2,hybrid_compact_v1a,4,97,33030144,8257536,25.000000,10195013,7.875000,23.625000,2091.677264,14.328904,2077.348361,1.640384,0.631937,2238.121014,421.243116,0.188213,0.087764,3.321223,-0.126062,,1,1,stop_ratio_failed
