model,round_index,round_type,threshold,quant_mode,layer_name,layer_key,backend,step,shape,numel,payload_length,quant_bits_layer,fallback_reason
resnet50,0,round0,262144,8,layer3.0.conv2.weight,layer3.0.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,
resnet50,0,round0,262144,8,layer3.0.conv3.weight,layer3.0.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,
resnet50,0,round0,262144,8,layer3.0.shortcut.0.weight,layer3.0.shortcut.0.weight|torch.float32|1024x512x1x1,cuda,1,1024x512x1x1,524288,524288,8,
resnet50,0,round0,262144,8,layer3.1.conv1.weight,layer3.1.conv1.weight|torch.float32|256x1024x1x1,cuda,1,256x1024x1x1,262144,262144,8,
resnet50,0,round0,262144,8,layer3.1.conv2.weight,layer3.1.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,
resnet50,0,round0,262144,8,layer3.1.conv3.weight,layer3.1.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,
resnet50,0,round0,262144,8,layer3.2.conv1.weight,layer3.2.conv1.weight|torch.float32|256x1024x1x1,cuda,1,256x1024x1x1,262144,262144,8,
resnet50,0,round0,262144,8,layer3.2.conv2.weight,layer3.2.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,
resnet50,0,round0,262144,8,layer3.2.conv3.weight,layer3.2.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,
resnet50,0,round0,262144,8,layer3.3.conv1.weight,layer3.3.conv1.weight|torch.float32|256x1024x1x1,cuda,1,256x1024x1x1,262144,262144,8,
resnet50,0,round0,262144,8,layer3.3.conv2.weight,layer3.3.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,
resnet50,0,round0,262144,8,layer3.3.conv3.weight,layer3.3.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,
resnet50,0,round0,262144,8,layer3.4.conv1.weight,layer3.4.conv1.weight|torch.float32|256x1024x1x1,cuda,1,256x1024x1x1,262144,262144,8,
resnet50,0,round0,262144,8,layer3.4.conv2.weight,layer3.4.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,
resnet50,0,round0,262144,8,layer3.4.conv3.weight,layer3.4.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,
resnet50,0,round0,262144,8,layer3.5.conv1.weight,layer3.5.conv1.weight|torch.float32|256x1024x1x1,cuda,1,256x1024x1x1,262144,262144,8,
